time,e1,e2,e3,e4,i1,i2
0.165,-1.47081412025e-14,-9.1925882515625e-15,-1.28696235521875e-14,-2.9416282405e-14,5.5155529509375e-15,1.65466588528125e-14
0.166,-3.09016994374951,-1.93135621484344,-2.70389870078082,-6.18033988749901,1.15881372890606,3.47644118671819
0.167,-5.87785252292477,-3.67365782682798,-5.14312095755917,-11.7557050458495,2.20419469609679,6.61258408829037
0.168,-8.09016994374952,-5.05635621484345,-7.07889870078083,-16.180339887499,3.03381372890607,9.1014411867182
0.169,-9.51056516295156,-5.94410322684473,-8.32174451758262,-19.0211303259031,3.56646193610684,10.6993858083205
0.17,-10,-6.25,-8.75,-20,3.75,11.25
0.171,-9.51056516295152,-5.9441032268447,-8.32174451758258,-19.021130325903,3.56646193610682,10.6993858083205
0.172,-8.09016994374943,-5.0563562148434,-7.07889870078075,-16.1803398874989,3.03381372890604,9.10144118671811
0.173,-5.87785252292466,-3.67365782682791,-5.14312095755908,-11.7557050458493,2.20419469609675,6.61258408829025
0.174,-3.09016994374938,-1.93135621484336,-2.7038987007807,-6.18033988749875,1.15881372890602,3.47644118671805
0.175,4.90106311913577e-14,3.06316444945985e-14,4.28843022924379e-14,9.80212623827153e-14,-1.83789866967591e-14,-5.51369600902774e-14
0.176,3.09016994374947,1.93135621484342,2.70389870078079,6.18033988749894,-1.15881372890605,-3.47644118671815
0.177,5.87785252292474,3.67365782682796,5.14312095755915,11.7557050458495,-2.20419469609678,-6.61258408829034
0.178,8.09016994374945,5.05635621484341,7.07889870078077,16.1803398874989,-3.03381372890604,-9.10144118671813
0.179,9.51056516295153,5.94410322684471,8.32174451758259,19.0211303259031,-3.56646193610682,-10.6993858083205
0.18,10,6.25,8.75,20,-3.75,-11.25
0.181,9.51056516295153,5.94410322684471,8.32174451758259,19.0211303259031,-3.56646193610683,-10.6993858083205
0.182,8.09016994374946,5.05635621484341,7.07889870078077,16.1803398874989,-3.03381372890605,-9.10144118671814
0.183,5.87785252292475,3.67365782682797,5.14312095755916,11.7557050458495,-2.20419469609678,-6.61258408829034
