time,e1,e2,i21
0.28,6.66666666666667,-3.33333333333333,-6.66666666666667
0.281,6.34037677530101,-3.1701883876505,-6.34037677530101
0.282,5.39344662916628,-2.69672331458314,-5.39344662916628
0.283,3.91856834861643,-1.95928417430821,-3.91856834861643
0.284,2.06011329583299,-1.0300566479165,-2.06011329583299
0.285,-8.25307515451144e-18,4.12653757725572e-18,8.25307515451144e-18
0.286,-2.06011329583299,1.0300566479165,2.06011329583299
0.287,-3.91856834861651,1.95928417430825,3.91856834861651
0.288,-5.39344662916634,2.69672331458317,5.39344662916634
0.289,-6.34037677530101,3.1701883876505,6.34037677530101
0.29,-6.66666666666667,3.33333333333333,6.66666666666667
0.291,-6.34037677530106,3.17018838765053,6.34037677530106
0.292,-5.39344662916638,2.69672331458319,5.39344662916638
0.293,-3.91856834861656,1.95928417430828,3.91856834861656
0.294,-2.06011329583306,1.03005664791653,2.06011329583306
0.295,-7.18624517002871e-14,3.59312258501435e-14,7.18624517002871e-14
0.296,2.06011329583293,-1.03005664791646,-2.06011329583293
0.297,3.91856834861645,-1.95928417430822,-3.91856834861645
0.298,5.3934466291663,-2.69672331458315,-5.3934466291663
0.299,6.34037677530102,-3.17018838765051,-6.34037677530102
0.3,6.66666666666667,-3.33333333333333,-6.66666666666667
