time,e1,e2,e3,e4,i1
0.208,-279.110863059358,32.6216960348487,-0.547172909973797,21.0515469360351,62.3465118188414
0.209,-328.114498121827,-0.26741304233537,0.363260479243251,-11.9965117771003,65.5694170158984
0.21,-345,-33.1309345077279,1.23830514001553,-43.871312555155,62.3738130984544
0.211,-328.114498121828,-62.7519342094556,1.99233896466984,-71.4526628883123,53.0725127824745
0.212,-279.110863059357,-86.2308778494658,2.55158194704728,-92.0406434783715,38.5759970419782
0.213,-202.785912040907,-101.269457764085,2.86131838677428,-103.619895406434,20.3032908553644
0.214,-106.610863059361,-106.395567443809,2.89125295297999,-105.056897740156,0.0430591231103641
0.215,-3.38087935892519e-12,-101.107401718798,2.63847631768024,-96.2109246743254,-20.2214803437589
0.216,106.610863059354,-85.9225770799136,2.12775006106763,-77.9478209472631,-38.5066880278536
0.217,202.785912040901,-62.3274638960693,1.40908295933459,-52.055247099891,-53.0226751873941
0.218,279.110863059356,-32.6316902435629,0.552835904050424,-21.0676909626378,-62.3485106605838
0.219,328.114498121828,0.257940473589606,-0.3571653830792,11.981625534288,-65.5713115296476
0.22,345,33.121987593649,-1.23183566532843,43.8576591365962,-62.3756024812702
0.221,328.114498121828,62.743514388526,-1.98555034320855,71.4402137356743,-53.0741967466604
0.222,279.110863059356,86.2229841608146,-2.54452685524096,92.0293668154964,-38.5775757797083
0.223,202.785912040906,101.262087022285,-2.85404689793111,103.609756607273,-20.3047650037242
0.224,106.61086305936,106.388714410986,-2.88381250427851,105.047859682985,-0.0444297296747607
0.225,2.1974434543096e-12,101.101059273487,-2.630911691043,96.2029480816589,20.2202118546969
0.226,-106.610863059355,85.9167363821521,-2.12010337701109,77.9408647110001,38.5055198883015
0.227,-202.785912040902,62.3221145482702,-1.4013936828967,52.0492685913165,53.0216053178345
0.228,-279.110863059357,32.6268204467592,-0.545140861908723,21.0626463269991,62.3475367012232
0.229,-328.114498121828,-0.262343768483362,0.364831975172011,-11.9857810988226,65.5704308706689
0.23,-345,-33.1259385398673,1.23944216564739,-43.860971115706,62.3748122920265
0.231,-328.114498121828,-62.7470281030404,1.99306763853419,-71.4427280514158,53.0734940037574
