# seconds.nanoseconds(sequence)	sine
1550489591.965678200(677)	-0.809017
1550489591.966678200(678)	-0.587785
1550489591.967678200(679)	-0.309017
1550489591.968678200(680)	0.000000
1550489591.969678200(681)	0.309017
1550489591.970678200(682)	0.587785
1550489591.971678200(683)	0.809017
1550489591.972678200(684)	0.951057
1550489591.973678200(685)	1.000000
1550489591.974678200(686)	0.951057
1550489591.975678200(687)	0.809017
1550489591.976678200(688)	0.587785
1550489591.977678200(689)	0.309017
1550489591.978678200(690)	0.000000
1550489591.979678200(691)	-0.309017
1550489591.980678200(692)	-0.587785
1550489591.981678200(693)	-0.809017
1550489591.982678200(694)	-0.951057
1550489591.983678200(695)	-1.000000
1550489591.984678200(696)	-0.951057
1550489591.985678200(697)	-0.809017
1550489591.986678200(698)	-0.587785
1550489591.987678200(699)	-0.309017
1550489591.988678200(700)	-0.000000
1550489591.989678200(701)	0.309017
1550489591.990678200(702)	0.587785
1550489591.991678200(703)	0.809017
1550489591.992678200(704)	0.951057
1550489591.993678200(705)	1.000000
1550489591.994678200(706)	0.951057
1550489591.995678200(707)	0.809017
1550489591.996678200(708)	0.587785
1550489591.997678200(709)	0.309017
1550489591.998678200(710)	-0.000000
1550489591.999678200(711)	-0.309017
1550489592.000678200(712)	-0.587785
1550489592.001678200(713)	-0.809017
1550489592.002678200(714)	-0.951057
1550489592.003678200(715)	-1.000000
1550489592.004678200(716)	-0.951057
1550489592.005678200(717)	-0.809017
1550489592.006678200(718)	-0.587785
1550489592.007678200(719)	-0.309017
1550489592.008678200(720)	0.000000
1550489592.009678200(721)	0.309017
1550489592.010678200(722)	0.587785
1550489592.011678200(723)	0.809017
1550489592.012678200(724)	0.951057
1550489592.013678200(725)	1.000000
1550489592.014678200(726)	0.951057
1550489592.015678200(727)	0.809017
1550489592.016678200(728)	0.587785
1550489592.017678200(729)	0.309017
1550489592.018678200(730)	-0.000000
1550489592.019678200(731)	-0.309017
1550489592.020678200(732)	-0.587785
1550489592.021678200(733)	-0.809017
1550489592.022678200(734)	-0.951057
1550489592.023678200(735)	-1.000000
1550489592.024678200(736)	-0.951057
1550489592.025678200(737)	-0.809017
1550489592.026678200(738)	-0.587785
1550489592.027678200(739)	-0.309017
1550489592.028678200(740)	-0.000000
1550489592.029678200(741)	0.309017
1550489592.030678200(742)	0.587785
1550489592.031678200(743)	0.809017
1550489592.032678200(744)	0.951057
1550489592.033678200(745)	1.000000
1550489592.034678200(746)	0.951057
1550489592.035678200(747)	0.809017
1550489592.036678200(748)	0.587785
1550489592.037678200(749)	0.309017
1550489592.038678200(750)	0.000000
1550489592.039678200(751)	-0.309017
1550489592.040678200(752)	-0.587785
1550489592.041678200(753)	-0.809017
1550489592.042678200(754)	-0.951057
1550489592.043678200(755)	-1.000000
1550489592.044678200(756)	-0.951057
1550489592.045678200(757)	-0.809017
1550489592.046678200(758)	-0.587785
1550489592.047678200(759)	-0.309017
1550489592.048678200(760)	-0.000000
1550489592.049678200(761)	0.309017
1550489592.050678200(762)	0.587785
1550489592.051678200(763)	0.809017
1550489592.052678200(764)	0.951057
1550489592.053678200(765)	1.000000
1550489592.054678200(766)	0.951057
1550489592.055678200(767)	0.809017
1550489592.056678200(768)	0.587785
1550489592.057678200(769)	0.309017
1550489592.058678200(770)	0.000000
1550489592.059678200(771)	-0.309017
1550489592.060678200(772)	-0.587785
1550489592.061678200(773)	-0.809017
1550489592.062678200(774)	-0.951057
1550489592.063678200(775)	-1.000000
1550489592.064678200(776)	-0.951057
1550489592.065678200(777)	-0.809017
1550489592.066678200(778)	-0.587785
1550489592.067678200(779)	-0.309017
1550489592.068678200(780)	-0.000000
1550489592.069678200(781)	0.309017
1550489592.070678200(782)	0.587785
1550489592.071678200(783)	0.809017
1550489592.072678200(784)	0.951057
1550489592.073678200(785)	1.000000
1550489592.074678200(786)	0.951057
1550489592.075678200(787)	0.809017
1550489592.076678200(788)	0.587785
1550489592.077678200(789)	0.309017
1550489592.078678200(790)	-0.000000
1550489592.079678200(791)	-0.309017
1550489592.080678200(792)	-0.587785
1550489592.081678200(793)	-0.809017
